episode,reward,act_0,act_1,act_2,act_3,act_4,act_5,act_6,act_7,act_8,act_9,act_10,act_11,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38
0,-0.8152117687807259,-0.32653331756591797,0.3715335428714752,-0.5746271014213562,-1.9748458862304688,-0.7133209705352783,-1.0894134044647217,-1.0164361000061035,3.0189809799194336,1.3379199504852295,1.4911749362945557,-0.7821010947227478,0.8482223153114319,0.6660384359509857,-0.08166124863060473,0.06589951186142623,-0.335425623885074,-0.12089061317190591,0.01032168241939509,-0.032216664095755576,0.07706290213091126,-0.13093124367783748,-0.0014969205037711165,-0.8982155138014224,-0.004903042146122484,0.22460111192129775,0.0019344826281410656,1.2594023463849162,0.006271816096312463,-0.25212297067691003,-0.0022290001404266704,1.1962496895452737,0.00590667602731624,0.2732838335346438,0.0027441721494677333,-1.3426955498368043,-0.007456956798016555,-0.0008250333972126335,-0.00022846621138311303,-1.1323948254699774,-0.00669661919368365,-0.08135550122610277,-0.0006597521163384585,-1.4223282270952027,-0.009182535065294147,-0.23793352248073835,-0.5118807149481038,-0.5210562819042032,-0.29968354220892324,-0.43353058801804634,-0.3485424771702926,0.0
1,-0.6123130027507587,-0.3256535530090332,-0.21190696954727173,-0.2599085867404938,-1.5730705261230469,0.2751608192920685,-0.8401897549629211,0.06865555047988892,1.984352946281433,1.1085195541381836,0.22349801659584045,-0.6730862259864807,0.5086088180541992,0.6648008178009611,-0.08410202818943335,0.06589326906016754,-0.3440101738401688,-0.12244532445032472,-0.020171996429556815,-0.03581569656421599,0.07859583051402882,-0.13858684341883623,-0.08469843578984011,-0.8935736038613714,0.031155024918710562,0.21557931190403354,-0.08472810198725655,1.2336566384433798,-0.21830029594853384,-0.2610903842871244,-0.11285236959115404,1.1584502345633463,-0.2938964464253744,0.2607621717148146,-0.1414067692213506,-1.3147965384583316,0.25668531010944734,0.004114841777396325,0.042225142010644354,-1.0767853989445428,0.4878899888857963,-0.09089904704008726,-0.09035398642051018,-1.3755769816056216,0.484458130927878,-0.23793352248073835,-0.5118807149481038,-0.5210562819042032,-0.29968354220892324,-0.43353058801804634,-0.3485424771702926,0.001
2,-0.6646560634854388,-0.4440672993659973,-0.1978229135274887,-0.6032657623291016,-1.4475855827331543,0.10897475481033325,-1.1308684349060059,0.36793357133865356,1.454076886177063,0.982490062713623,0.12998247146606445,-0.7356656789779663,0.3166576325893402,0.6604652846142489,-0.08796382299808603,0.06585807028711324,-0.3595091212442161,-0.12188912599527216,-0.07770250293571508,-0.04356647527817488,0.08332030217603185,-0.15369151116442364,-0.11577161926273886,-0.8917996014951675,-0.004903042146122484,0.19887571252230157,-0.10655491117840066,1.165535174651445,-0.45403819970866927,-0.2731252950587491,-0.08418670851324667,1.0669468928238233,-0.5376062076019772,0.24204107679057893,-0.1262836790790931,-1.2462474875218408,0.482514584459595,0.019880321889910117,0.1099222259758361,-0.9735415072432337,0.6131755261764029,-0.11242739208379368,-0.14934935763462182,-1.2729344171179071,0.7804761426881579,-0.23793352248073835,-0.5118807149481038,-0.5210562819042032,-0.29968354220892324,-0.43353058801804634,-0.3485424771702926,0.002
3,-0.4988595527063936,-0.8360551595687866,-0.5027718544006348,-0.36346858739852905,-0.2787816524505615,0.43298453092575073,-0.7171186208724976,0.44124114513397217,0.7470070123672485,0.9647547602653503,0.1594766229391098,-0.14959724247455597,0.5221258997917175,0.6523331834098789,-0.09211554903990224,0.06578541470650683,-0.37872921574353974,-0.12627860849323405,-0.1372642039367148,-0.05422318238183375,0.0912817747950693,-0.1750124290956994,-0.16462213325014574,-0.8917996014951675,-0.004903042146122484,0.17508962550017293,-0.1616209611846629,1.0549263694698743,-0.6823058329242735,-0.28321562209047463,-0.07735018870247527,0.9224961029129153,-0.81382167271427,0.22725924832170208,-0.0896895886040814,-1.1393107874709907,0.7106750967734757,0.04843544182763881,0.1794576933650511,-0.8532546216917789,0.6900463736214192,-0.1455496619908463,-0.22328400381297123,-1.1371494881741018,0.9498199116842349,-0.23793352248073835,-0.5118807149481038,-0.5210562819042032,-0.29968354220892324,-0.43353058801804634,-0.3485424771702926,0.003
4,0.11913205932814552,-0.08121955394744873,0.06560841202735901,-0.5494025945663452,-0.30724215507507324,0.42595115303993225,-0.14872032403945923,0.34628647565841675,-0.5695840120315552,0.8739543557167053,-0.23915469646453857,0.11362036317586899,-0.04442763328552246,0.6397138677130363,-0.09599525101284732,0.06568499858413307,-0.3963592211291684,-0.12582942078938256,-0.21225342650159365,-0.06768053135470181,0.10091331727557168,-0.20474407006053713,-0.22663796924886184,-0.8917996014951675,-0.004903042146122484,0.1451068247100776,-0.1880351663454861,0.9225531392232357,-0.7350848075293539,-0.2888409227493893,-0.02634475257965311,0.7339910453710451,-0.9974892914802197,0.21980898505574709,-0.027185485407594495,-0.9988448089148354,0.8912059842602306,0.09146785425525437,0.2623450318595143,-0.7204731098067474,0.7537620492754888,-0.1861135509548584,-0.24898778048137057,-0.9654940806027464,1.2269570769235878,-0.23793352248073835,-0.5118807149481038,-0.5210562819042032,-0.29968354220892324,-0.43353058801804634,-0.3485424771702926,0.004
5,0.15805536864865322,0.0587044358253479,0.4463035464286804,-0.18659231066703796,0.4294092059135437,0.32479327917099,0.23450419306755066,-0.7212033867835999,-0.20062193274497986,0.7677791118621826,0.186448872089386,0.15132106840610504,-0.09634523838758469,0.6206278635908636,-0.09850835160517495,0.06560331086553536,-0.41030475710876335,-0.12891743111268167,-0.3257514442299434,-0.077781398528693,0.11264022797092146,-0.23671460114014467,-0.21410156617711482,-0.8900357628354321,0.008321441916254894,0.1105169938831285,-0.2166398549953675,0.7735337329580687,-0.848358680593791,-0.2864724958429459,0.04231400407243816,0.5307351396832202,-1.0052331472592293,0.22165286071563048,0.04201695064959912,-0.8680550642534349,0.6925163492937427,0.1510627008461726,0.3540648374360138,-0.6058951444089942,0.5528822248398518,-0.2288374635585273,-0.2536318608301579,-0.7803507014601153,1.2028811357027083,-0.23793352248073835,-0.5118807149481038,-0.5210562819042032,-0.29968354220892324,-0.43353058801804634,-0.3485424771702926,0.005
6,0.3504550788187546,0.39696240425109863,0.7088562250137329,0.07212788611650467,0.4970081150531769,0.17987339198589325,-0.011884510517120361,-0.09533023834228516,-0.5371643304824829,0.47857144474983215,0.3981461226940155,0.18629245460033417,-0.18897593021392822,0.5941441553782115,-0.10009905799203166,0.06554460196859196,-0.41314820540027425,-0.13366044679338845,-0.43957747686522447,-0.0852364238480771,0.12326760391398427,-0.2669887139818691,-0.20312272514477242,-0.8778056296458677,0.08230477241896966,0.07228806411176616,-0.23411943535310664,0.6319301101912901,-0.7170114079816516,-0.27761078635735503,0.08017526602812078,0.3379380768089578,-0.9172168693162112,0.22258181618522155,-0.010790545954157196,-0.752694722090051,0.664652154234673,0.22628834689794042,0.43322386784978606,-0.5060618328345712,0.5412916995463564,-0.27262493508483987,-0.2601156843491632,-0.6061465100282879,1.1038237916942781,-0.23793352248073835,-0.5118807149481038,-0.5210562819042032,-0.29968354220892324,-0.43353058801804634,-0.3485424771702926,0.006
7,0.36931859334264494,0.45895183086395264,0.7229306101799011,0.11122908443212509,0.15561841428279877,-0.5547459721565247,0.6152279376983643,-0.7669544219970703,-0.13544535636901855,0.24668782949447632,0.25942718982696533,-0.19599497318267822,-0.21179187297821045,0.5603434749712747,-0.10059779227917957,0.06552520943702243,-0.4116031364885774,-0.15104424250993584,-0.5511609251321706,-0.09262452832290988,0.13066022541785144,-0.2914151856496684,-0.14635622766278114,-0.8460269138260658,0.19011776992354762,0.034308744965275244,-0.22115484274324393,0.5157415035564621,-0.5746108230719754,-0.2637258714007569,0.11921292385898823,0.15555246844355097,-0.8867809044808989,0.22240876673859516,0.008171955516092759,-0.649269743613665,0.5679661458498706,0.31560722329769325,0.5068974206906011,-0.4019307241385728,0.5856447409964713,-0.31601038773517426,-0.25198047143417535,-0.4524387193974866,0.9477889769541991,-0.23793352248073835,-0.5118807149481038,-0.5210562819042032,-0.29968354220892324,-0.43353058801804634,-0.3485424771702926,0.007
8,0.05285162874216631,0.690618634223938,0.49889621138572693,0.23017549514770508,0.3612903356552124,-0.8599457740783691,0.31771767139434814,-0.616366982460022,0.016776084899902344,0.21131500601768494,0.5906233191490173,0.5423476099967957,-0.09787485003471375,0.5192748852339084,-0.10148960904120481,0.06548908088505727,-0.4011722288748798,-0.1624630477037979,-0.6628029963059022,-0.09700073729185431,0.13372998049856294,-0.31079128537957884,-0.12548652120132026,-0.7880103477643661,0.32842957095767006,-0.004044389370929847,-0.23222416229421972,0.4165435326482441,-0.5115224747486009,-0.2540252354284872,0.04322399722046395,0.0007955724390875042,-0.6872771100554547,0.21455082099743808,-0.0923585641998134,-0.5547028263460896,0.5423771568499128,0.4154124880963614,0.5515885910052453,-0.30185240625348086,0.525587484808622,-0.3641785254484381,-0.3026303601159728,-0.32126944428317583,0.8010885032118364,-0.23793352248073835,-0.5118807149481038,-0.5210562819042032,-0.29968354220892324,-0.43353058801804634,-0.3485424771702926,0.008
9,0.192069617513427,0.20866712927818298,0.17877553403377533,0.010634798556566238,0.5743376612663269,-0.366139680147171,0.32964637875556946,-0.5317784547805786,-0.8473085761070251,0.17376373708248138,0.2368904948234558,1.0082472562789917,-0.037753015756607056,0.47098787562451927,-0.10725619464807183,0.06521559305970333,-0.34222890729457855,-0.11187862225046263,-0.7740021456004902,-0.0973017227265774,0.13040720732158603,-0.3321097683331238,-0.182479050366023,-0.7032964351311798,0.4610731256782664,-0.04713772258932003,-0.2833673293250832,0.33789998521157383,-0.3703683153662152,-0.26475578291577845,-0.1865671413306104,-0.11922370013998629,-0.5183197074862534,0.18334002303438648,-0.33322782880942375,-0.4592490118935057,0.5580146189756413,0.4638492965292764,-0.05046683228627464,-0.19242087110066264,0.6786010127812822,-0.41398898025838354,-0.2959786697751216,-0.20480722075603025,0.7470016791461546,-0.23793352248073835,-0.5118807149481038,-0.5210562819042032,-0.29968354220892324,-0.43353058801804634,-0.3485424771702926,0.009000000000000001
